Participant Code,Task Name,Duration
6,xbox-t,165.6835000514984
Participant Code,Task Name,Duration
6,xbox-m,64.0803427696228
Participant Code,Task Name,Duration
6,xbox-d,271.8603823184967
Participant Code,Task Name,Duration
6,hand-t,212.08197259902954
Participant Code,Task Name,Duration
6,hand-m,94.83341836929321
Participant Code,Task Name,Duration
6,hand-d,301.94094038009644
Participant Code,Task Name,Duration
6,gui-t,91.26385307312012
Participant Code,Task Name,Duration
6,gui-m,51.32808327674866
Participant Code,Task Name,Duration
6,gui-d,183.76288151741028
