source,time_s,time_ns,action,controller_state
xbox,1681425726,740532875,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425726,847497224,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425726,940740823,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,40705442,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,140735149,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,240697860,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,340723514,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,440689563,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,540794610,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,640733242,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,740721702,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,840755462,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425727,940740108,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,40724992,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,140750646,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,240650415,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,340827703,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,440802335,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,540732860,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,640716314,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,740702152,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,840682029,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425728,940745830,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,40674209,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,140732765,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,240783452,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,340774774,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,440653085,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,540940284,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,640747785,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,740748405,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,840691566,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425729,940725088,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,40671348,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,140691757,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,240681886,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,340760469,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,440754413,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,540719270,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,640727758,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,740792751,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,840727090,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425730,940699577,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,40812492,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,140755891,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,240635633,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,340780735,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,440720796,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,540800571,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,640696763,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,740767478,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,840668678,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425731,940702438,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,40708065,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,140725851,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,240737199,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,340770959,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,440708398,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,540720701,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,640702724,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,740777492,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,840659618,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425732,940721988,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,40805578,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,140614032,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,246687650,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,340690612,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,440732717,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,540732145,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,640700817,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,740726709,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,840732574,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425733,940689325,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,40710687,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,140751123,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,240735054,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,340755939,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,440707445,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,540742635,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,640640974,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,740668773,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,840632677,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425734,940724372,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425735,40764093,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425735,140744447,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425735,240701436,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425735,340672254,0,1
source,time_s,time_ns,action,controller_state
xbox,1681425735,440668582,0,1
