"source","time_s","time_ns","action","controller_state","hand_in_frame"
"hand","1681333456",633697986,0,1,"False"
"hand","1681333457",140690088,0,1,"False"
"hand","1681333457",627572298,0,1,"False"
"hand","1681333458",136078357,0,1,"False"
"hand","1681333458",635608911,0,1,"False"
"hand","1681333459",549696683,1,1,"True"
"hand","1681333460",982316493,0,1,"False"
"hand","1681333461",467697858,0,1,"False"
"hand","1681333461",970459938,0,1,"False"
"hand","1681333462",475224256,0,1,"False"
"hand","1681333462",973826408,0,1,"False"
"hand","1681333463",475932836,0,1,"False"
"hand","1681333463",969763755,0,1,"False"
"hand","1681333464",469190120,0,1,"False"
"hand","1681333464",978799104,0,1,"False"
"hand","1681333465",475329399,0,1,"False"
"hand","1681333465",968873262,0,1,"False"
"hand","1681333466",471091270,0,1,"False"
"hand","1681333466",972209453,0,1,"False"
"hand","1681333467",469410657,0,1,"False"
"hand","1681333467",968498468,0,1,"False"
"hand","1681333468",470952749,0,1,"False"
"hand","1681333468",968057870,0,1,"False"
"hand","1681333469",468261718,0,1,"False"
"hand","1681333469",967905998,0,1,"False"
"hand","1681333470",467484712,0,1,"False"
"hand","1681333470",976270437,0,1,"False"
"hand","1681333471",468125343,0,1,"False"
"hand","1681333471",972230672,0,1,"False"
"hand","1681333472",467281579,0,1,"False"
"hand","1681333472",972007513,0,1,"False"
"hand","1681333473",467879056,0,1,"False"
"hand","1681333473",971818208,0,1,"False"
"hand","1681333474",470351934,0,1,"False"
"hand","1681333474",969936132,0,1,"False"
"hand","1681333475",475514411,0,1,"False"
"hand","1681333475",968446493,0,1,"False"
"hand","1681333476",469815015,0,1,"False"
"hand","1681333476",969727993,0,1,"False"
"hand","1681333477",471832275,0,1,"False"
"hand","1681333477",967832088,0,1,"False"
"hand","1681333478",470474958,0,1,"False"
"hand","1681333478",974241018,0,1,"False"
"hand","1681333479",472037553,0,1,"False"
"hand","1681333479",969029903,0,1,"False"
"hand","1681333480",467996597,0,1,"False"
"hand","1681333480",969697237,0,1,"False"
"hand","1681333481",468669891,0,1,"False"
"hand","1681333481",970743179,0,1,"False"
"hand","1681333482",468263149,0,1,"False"
"hand","1681333482",968731641,0,1,"False"
"hand","1681333483",476353645,0,1,"False"
"hand","1681333483",979907512,0,1,"False"
"hand","1681333484",476111173,0,1,"False"
"hand","1681333484",979801654,0,1,"False"
"hand","1681333485",478088855,0,1,"False"
"hand","1681333485",981663227,0,1,"False"
"hand","1681333486",515845298,0,1,"False"
"hand","1681333486",969655752,0,1,"False"
"hand","1681333487",469122886,0,1,"False"
"hand","1681333487",969749689,0,1,"False"
"hand","1681333488",473655700,0,1,"False"
"hand","1681333488",984794616,0,1,"False"
"hand","1681333489",486248970,0,1,"False"
"hand","1681333489",979048490,0,1,"False"
"hand","1681333490",477742433,0,1,"False"
"hand","1681333490",983085393,0,1,"False"
"hand","1681333491",476375579,0,1,"False"
"hand","1681333491",984462499,0,1,"False"
"hand","1681333492",485450506,0,1,"False"
"hand","1681333492",981296062,0,1,"False"
"hand","1681333493",480734109,0,1,"False"
"hand","1681333493",977201461,0,1,"False"
"hand","1681333494",477370262,0,1,"False"
"hand","1681333494",978480100,0,1,"False"
"hand","1681333495",487394332,0,1,"False"
"hand","1681333495",986871719,0,1,"False"
"hand","1681333496",484924077,0,1,"False"
"hand","1681333496",981754779,0,1,"False"
"hand","1681333497",485167503,0,1,"False"
"hand","1681333497",978075504,0,1,"False"
"hand","1681333498",468200445,0,1,"False"
"hand","1681333498",985797643,0,1,"False"
"hand","1681333499",480288028,0,1,"True"
"hand","1681333500",568130016,0,1,"False"
"hand","1681333501",77187061,0,1,"False"
"hand","1681333501",569766759,0,1,"False"
"hand","1681333502",71413278,0,1,"False"
"hand","1681333502",570257186,0,1,"False"
"hand","1681333503",70543527,0,1,"False"
"hand","1681333503",567890644,0,1,"False"
"hand","1681333504",73737621,0,1,"False"
"hand","1681333504",567715167,0,1,"False"
"hand","1681333505",68978548,0,1,"False"
"hand","1681333505",575835227,0,1,"False"
"hand","1681333506",68125724,0,1,"False"
"hand","1681333506",567643404,0,1,"False"
"hand","1681333507",69176673,0,1,"False"
"hand","1681333507",572930812,0,1,"False"
"hand","1681333508",70299148,0,1,"False"
"hand","1681333508",568299531,0,1,"False"
"hand","1681333509",68937063,0,1,"False"
"hand","1681333509",568947792,0,1,"False"
"hand","1681333510",67988157,0,1,"False"
"hand","1681333510",571246623,0,1,"False"
"hand","1681333511",76213836,0,1,"False"
"hand","1681333511",568945407,0,1,"False"
"hand","1681333512",69228649,0,1,"False"
"hand","1681333512",568151712,0,1,"False"
"hand","1681333513",68150043,0,1,"False"
"hand","1681333513",569637775,0,1,"False"
"hand","1681333514",67575216,0,1,"False"
"hand","1681333514",569694757,0,1,"False"
"hand","1681333515",69162130,0,1,"False"
"hand","1681333515",574731826,0,1,"False"
"hand","1681333516",70326328,0,1,"False"
"hand","1681333516",568544149,0,1,"False"
"hand","1681333527",40391921,0,1,"False"
"hand","1681333528",91479778,0,1,"False"
"hand","1681333528",592449426,0,1,"False"
"hand","1681333529",89949846,0,1,"False"
"hand","1681333529",592711448,0,1,"False"
"hand","1681333530",91880798,0,1,"False"
"hand","1681333530",590517282,0,1,"False"
"hand","1681333531",91268301,0,1,"False"
"hand","1681333531",592533349,0,1,"False"
"hand","1681333532",108598709,0,1,"False"
"hand","1681333532",592207908,0,1,"False"
"hand","1681333533",90442657,0,1,"False"
"hand","1681333533",590260505,0,1,"False"
"hand","1681333534",98571062,0,1,"False"
"hand","1681333534",590271711,0,1,"False"
"hand","1681333545",77270746,0,1,"False"
"hand","1681333546",147303104,0,1,"False"
"hand","1681333546",646698236,0,1,"False"
"hand","1681333547",146551370,0,1,"False"
"hand","1681333547",650742292,0,1,"False"
"hand","1681333548",146763801,0,1,"False"
"hand","1681333548",651530742,0,1,"False"
"hand","1681333549",148907423,0,1,"False"
"hand","1681333549",647555112,0,1,"False"
"hand","1681333550",148119449,0,1,"False"
"hand","1681333550",648231029,0,1,"False"
"hand","1681333551",153351306,0,1,"False"
"hand","1681333551",647257328,0,1,"False"
"hand","1681333552",147374629,0,1,"False"
"hand","1681333552",650662899,0,1,"False"
"hand","1681333553",147783517,0,1,"False"
"hand","1681333553",654400825,0,1,"False"
"hand","1681333554",147182941,0,1,"False"
"hand","1681333554",651630163,0,1,"False"
"hand","1681333555",147598743,0,1,"False"
"hand","1681333555",652791976,0,1,"False"
"hand","1681333556",153311729,0,1,"False"
"hand","1681333556",647396564,0,1,"False"
"hand","1681333557",147187709,0,1,"False"
"hand","1681333557",647462606,0,1,"False"
"hand","1681333558",151084184,0,1,"False"
"hand","1681333558",651312351,0,1,"False"
"hand","1681333559",147575139,0,1,"False"
"hand","1681333559",648332357,0,1,"False"
"hand","1681333560",147801637,0,1,"False"
"hand","1681333560",648885965,0,1,"False"
"hand","1681333561",155346870,0,1,"False"
"hand","1681333561",649267196,0,1,"False"
"hand","1681333562",148718595,0,1,"False"
"hand","1681333562",648341178,0,1,"False"
"hand","1681333563",147176742,0,1,"False"
"hand","1681333563",654425859,0,1,"False"
"hand","1681333564",152552843,0,1,"False"
"hand","1681333564",648947000,0,1,"False"
"hand","1681333565",147912740,0,1,"False"
"hand","1681333565",647202968,0,1,"False"
"hand","1681333566",152751445,0,1,"False"
"hand","1681333566",648426532,0,1,"False"
"hand","1681333567",150485515,0,1,"False"
"hand","1681333567",649872779,0,1,"False"
"hand","1681333568",152286767,0,1,"False"
"hand","1681333568",648839235,0,1,"False"
"hand","1681333569",149060726,0,1,"False"
"hand","1681333569",648171424,0,1,"False"
"hand","1681333570",148325681,0,1,"False"
"hand","1681333570",654937505,0,1,"False"
"hand","1681333571",147877454,0,1,"False"
"hand","1681333571",647368669,0,1,"False"
"hand","1681333572",156664848,0,1,"False"
"hand","1681333572",651794672,0,1,"False"
"hand","1681333573",147541046,0,1,"False"
"hand","1681333573",653561592,0,1,"False"
"hand","1681333574",147081613,0,1,"False"
"hand","1681333574",655069351,0,1,"False"
"hand","1681333575",153833389,0,1,"False"
"hand","1681333575",655527353,0,1,"False"
"hand","1681333576",149025440,0,1,"False"
"hand","1681333576",648957729,0,1,"False"
"hand","1681333577",146864652,0,1,"False"
"hand","1681333577",648440361,0,1,"False"
"hand","1681333578",149194717,0,1,"False"
