Participant Code,Task Name,Duration
3,GUI-t,146.0481526851654
Participant Code,Task Name,Duration
3,GUI-m,103.48677134513855
Participant Code,Task Name,Duration
3,gui-d,198.57498693466187
Participant Code,Task Name,Duration
3,hand-t,694.2552571296692
Participant Code,Task Name,Duration
3,hand-m,211.9985547065735
Participant Code,Task Name,Duration
3,hand-d,491.99900555610657
Participant Code,Task Name,Duration
3,xbox-t,150.23995113372803
Participant Code,Task Name,Duration
3,xbox-m,62.814157247543335
Participant Code,Task Name,Duration
3,xbox-d,189.6952555179596
