"source","time_s","time_ns","action","controller_state","hand_in_frame"
"gui","1681337752",829017162,3,0,""
"gui","1681337753",413123607,3,0,""
"gui","1681337753",917337417,3,0,""
"gui","1681337754",485186815,3,0,""
"gui","1681337755",333230018,3,0,""
"gui","1681337756",605247497,3,0,""
"gui","1681337761",621124267,5,1,""
"gui","1681337762",685105323,5,1,""
"gui","1681337763",574096202,5,1,""
"gui","1681337764",557135105,5,1,""
"gui","1681337766",653252601,4,1,""
"gui","1681337769",53271770,5,1,""
"gui","1681337776",37477016,7,1,""
"gui","1681337778",869386434,8,1,""
"gui","1681337785",381320714,5,1,""
"gui","1681337790",93379020,7,1,""
"gui","1681337795",925382375,3,1,""
"gui","1681337796",791204929,3,1,""
"gui","1681337797",877314090,3,1,""
"gui","1681337800",661498069,4,0,""
"gui","1681337802",629248857,1,1,""
"gui","1681337803",197376489,1,1,""
"gui","1681337803",869301557,1,1,""
"gui","1681337804",741241693,1,1,""
"gui","1681337805",573451757,1,1,""
"gui","1681337807",405289411,1,1,""
"gui","1681337809",517293453,3,1,""
"gui","1681337810",493420600,4,0,""
"gui","1681337811",405398607,4,0,""
"gui","1681337812",381211996,4,0,""
"gui","1681337813",453408718,4,0,""
"gui","1681337814",181222915,4,0,""
"gui","1681337815",933468341,4,0,""
"gui","1681337816",533247947,4,0,""
"gui","1681337819",469251155,8,1,""
"gui","1681337891",677192211,1,1,""
"gui","1681337893",365499973,1,0,""
"gui","1681337894",521096229,1,0,""
"gui","1681337895",556000471,1,0,""
"gui","1681337896",508389472,1,0,""
"gui","1681337897",458853721,1,0,""
"gui","1681337898",443652629,1,0,""
"gui","1681337901",141438961,4,0,""
"gui","1681337902",261457920,4,0,""
"gui","1681337903",669843912,4,0,""
"gui","1681337904",13353109,4,0,""
"gui","1681337904",653565645,4,0,""
"gui","1681337908",109443664,3,1,""
"gui","1681337909",469404220,3,1,""
"gui","1681337911",565438270,1,0,""
"gui","1681337912",757404565,1,0,""
"gui","1681337914",293298721,4,0,""
"gui","1681337915",365468978,4,0,""
"gui","1681337916",53465843,4,0,""
"gui","1681337916",525350809,4,0,""
"gui","1681337917",45496225,4,0,""
"gui","1681337917",653504610,4,0,""
"gui","1681337918",229479312,4,0,""
"gui","1681337918",789482355,4,0,""
"gui","1681337919",237590551,4,0,""
"gui","1681337919",735199213,4,0,""
"gui","1681337919",818360567,4,0,""
"gui","1681337919",887671232,4,0,""
"gui","1681337919",941449165,4,0,""
"gui","1681337920",305120229,4,0,""
"gui","1681337920",810433626,4,0,""
"gui","1681337920",965359210,4,0,""
"gui","1681337921",429353952,4,0,""
"gui","1681337921",965450525,4,0,""
"gui","1681337922",501425981,4,0,""
"gui","1681337923",21306276,4,0,""
"gui","1681337923",501287698,4,0,""
"gui","1681337924",37638902,4,0,""
"gui","1681337924",493335962,4,0,""
"gui","1681337925",22121191,4,0,""
"gui","1681337925",445253133,4,0,""
"gui","1681337926",21366119,4,0,""
"gui","1681337926",629217624,4,0,""
"gui","1681337927",141382455,4,0,""
"gui","1681337927",749267339,4,0,""
"gui","1681337928",221426248,4,0,""
"gui","1681337928",741533041,4,0,""
"gui","1681337929",229597806,4,0,""
"gui","1681337929",733526229,4,0,""
"gui","1681337930",301433324,4,0,""
"gui","1681337930",733526468,4,0,""
"gui","1681337931",262029409,4,0,""
"gui","1681337931",829571723,4,0,""
"gui","1681337932",341464757,4,0,""
"gui","1681337932",861628532,4,0,""
"gui","1681337933",341594696,4,0,""
"gui","1681337933",893265008,4,0,""
"gui","1681337934",357506036,4,0,""
"gui","1681337934",865812778,4,0,""
"gui","1681337935",253339290,4,0,""
"gui","1681337935",710703611,4,0,""
"gui","1681337936",237453937,4,0,""
"gui","1681337936",813528060,4,0,""
"gui","1681337937",125483751,4,0,""
"gui","1681337937",685449123,4,0,""
"gui","1681337938",117481708,4,0,""
"gui","1681337938",637291193,4,0,""
"gui","1681337939",109331369,4,0,""
"gui","1681337939",672326326,4,0,""
"gui","1681337940",125615358,4,0,""
"gui","1681337940",917378902,4,0,""
"gui","1681337941",381521224,4,0,""
"gui","1681337943",453667163,1,0,""
"gui","1681337944",675036668,1,0,""
"gui","1681337946",325600624,1,0,""
"gui","1681337947",479801654,1,0,""
"gui","1681337948",509437322,1,0,""
"gui","1681337949",677537679,1,0,""
"gui","1681337952",149281740,4,1,""
"gui","1681337955",509466886,1,0,""
"gui","1681337957",93389034,1,0,""
"gui","1681337958",299845457,1,0,""
"gui","1681337959",362789154,1,0,""
"gui","1681337960",341580867,1,0,""
"gui","1681337961",451656103,1,0,""
"gui","1681337964",269402027,2,0,""
"gui","1681337967",381346225,2,1,""
"gui","1681337968",101610898,2,1,""
"gui","1681337968",645501613,2,1,""
"gui","1681337969",213364362,2,1,""
"gui","1681337969",965288400,2,1,""
"gui","1681337970",549453020,2,1,""
"gui","1681337971",405454158,2,1,""
"gui","1681337972",45499563,2,1,""
"gui","1681337974",949521064,5,1,""
"gui","1681337975",677179574,5,1,""
"gui","1681337976",197498321,5,1,""
"gui","1681337978",565646886,4,0,""
"gui","1681337981",637379169,5,1,""
"gui","1681337982",299346923,5,1,""
"gui","1681337984",237489700,2,1,""
"gui","1681337984",765308141,2,1,""
"gui","1681337988",197378635,3,1,""
"gui","1681337989",749480247,4,1,""
"gui","1681337991",253577470,4,0,""
"gui","1681337992",661609888,3,0,""
"gui","1681337993",614287137,3,0,""
"gui","1681337995",389366626,4,0,""
"gui","1681337998",469485282,5,1,""
"gui","1681337999",741747617,5,1,""
"gui","1681338002",29477596,7,1,""
"gui","1681338006",821588754,3,0,""
"gui","1681338008",981386184,1,1,""
"gui","1681338009",693343400,1,1,""
"gui","1681338010",146109342,1,1,""
"gui","1681338010",381543159,1,1,""
"gui","1681338010",669541358,1,1,""
"gui","1681338011",221604347,1,1,""
"gui","1681338011",648913383,1,1,""
"gui","1681338011",892646074,1,1,""
"gui","1681338012",165549516,1,1,""
"gui","1681338012",597619533,1,1,""
"gui","1681338014",629666805,3,0,""
"gui","1681338014",917383432,3,0,""
"gui","1681338015",277502298,3,0,""
